density_radius_cee,min_density_cee,outlier_distance_cee,seeding_distance_cee,w_z_cee,density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,F1_purity,F2_efficiency_deficit,F3_fragmentation
4.430823226617107,3.0,9.682447197761652,3.0,0.6761976975276525,8.0,2.5,14.696144738652007,3.714662908768351,0.4,0.3835960088226269,0.2052264330678456,19.021
3.6211687006382416,3.0,4.485007274059538,3.002462110823779,0.6427439740335293,3.5485024188063043,2.5,15.0,2.5,0.7845679519572644,0.24796984854334386,0.2855472523397832,9.21
3.6224965473506376,3.0,9.98613813323067,3.001214774937443,0.6092110258810226,8.0,2.5,9.043906364497609,4.144465898746681,0.4,0.31757249344527266,0.23238480246251317,10.733
3.9021320699448423,3.0,10.0,3.0,0.6,8.0,2.5,15.0,2.5,0.4,0.3535314649150955,0.17816717154740572,41.131
3.8785228034417534,3.0,10.0,3.0,0.6,8.0,2.5,13.658292338843928,2.6561092119378014,0.4,0.3567865757738284,0.1810004736312581,36.807
3.6882900042906592,3.018933004476961,10.0,3.0,0.6355767895796366,7.640781562690853,2.5,10.711285175910831,3.463664748144316,0.4,0.3418470417351508,0.21026771349834014,17.549
3.637532258137332,3.0,10.0,3.0,0.6807625906963481,7.804618717852116,2.5,3.3582939834968735,2.929133835787509,0.48148514050306473,0.32751987023183704,0.19369048453352486,31.786
3.628701473967366,3.066773246933849,10.0,3.0,0.6893031502317905,8.0,2.5,15.0,2.74867074827491,0.4,0.3232775340058103,0.18522370026391408,33.147
3.948624303298044,3.0,8.217021982467774,3.000052579247025,0.6389683916631962,8.0,2.5,2.56813917381254,5.727251477651464,0.4,0.3607994296094118,0.17912692430411636,39.971
4.620187876809363,3.014490584188591,10.0,3.0,0.7466915940393873,8.0,2.5,7.729234012985936,2.5,0.4,0.39493481733172947,0.16990013806111334,46.008
