density_radius_che,min_density_che,outlier_distance_che,seeding_distance_che,w_z_che,R1_pi,R2_pi,R3_pi
1.0,0.12521117676910448,20.38680396553089,1.0,0.735047827941147,0.20709796593788607,0.34415773031500263,15.206264649477948
1.0,0.01,17.79716347102397,5.505645114515836,0.2,1.2909910286424553,0.5530985831336963,4.649051779245686
1.0,0.2256275884183041,1.0,1.0,0.5567108032975924,0.20709796593788607,0.45352687182749074,10.12934157255487
1.0,1.6130944545421888,1.0,24.289529316778363,1.0,0.206523465157812,1.098372226715403,1.2946942254421479
1.0,1.3334494789445133,1.0,1.0,0.918247591075553,0.206523465157812,1.0366224815857168,1.5657362028553166
1.7776774028868318,1.917229166880908,30.0,3.1640635279555447,0.2,0.5632926011552764,0.9574179778926836,0.6539526955039421
1.1035910489248213,0.7872449986931611,1.0,2.8072486980032503,0.3005111830765651,0.206523465157812,0.8656469176639134,2.7178776901768598
1.0,2.432728641705803,1.0,1.0,0.2019804223536753,0.206523465157812,1.2243441802847763,0.8732154272320478
1.0,1.0375566125302664,23.949032422204397,1.0,1.0,0.206523465157812,0.9546277232307709,2.0208821649264865
1.0,1.5504864389614552,1.0,9.091045522792626,0.24275770934200744,0.206523465157812,1.0836537923419722,1.350948220754315
1.693133880944405,0.975008349971692,1.0,1.0471936189575959,0.3378332454953158,0.206523465157812,0.924648519821176,2.276155976987002
1.0,2.5968237298656733,1.0,30.0,0.2,0.206523465157812,1.2483355598016384,0.8180268484977626
1.0,3.8000220703990664,15.405200735810588,1.0,0.717618584091965,0.206523465157812,1.371822935861011,0.5902407841466014
10.0,0.01,21.88130741323069,2.748611812885053,0.2,1.2931905870845362,0.42349528444617635,10.104836991263584
1.0,0.25504996944683,5.304090182670598,1.0,0.2,0.20709796593788607,0.4860571678467877,9.098870658427446
1.2897023081752406,0.26345650871914117,2.8291771725627015,1.0,0.29921130391207684,0.20709796593788607,0.49510082985655685,8.847219262731729
1.0,2.7282401042190263,1.0,25.091453860122048,0.95373238695177,0.206523465157812,1.2636590035342774,0.7832942680588111
1.0,1.1962865370964393,1.0,1.0,0.24022143003835872,0.206523465157812,1.0035487207382603,1.7362028553164288
